station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,relative_humility,windchill,daytime,week7,weekend,code_change,rainY,otherY,nothing
1,2012-01-01,52.0,31.0,41.5,,36.0,40.0,23.0,0.0,,,RA FZFG BR,,0.05,29.78,29.92,3.6,20.0,4.6,2012,1,1,80.66132456638856,38.54299898641972,,6,1,2,1,1,0
1,2012-01-02,50.0,31.0,40.5,,26.0,35.0,24.0,0.0,,,MD,,0.01,29.44,29.62,9.8,24.0,10.3,2012,1,2,55.93304820151893,34.13593094228274,,0,0,0,0,0,1
1,2012-01-03,32.0,11.0,21.5,,4.0,18.0,43.0,0.0,,,MD,,0.0,29.67,29.87,10.8,31.0,11.6,2012,1,3,46.21893831281801,9.790632890455793,,1,0,0,0,0,1
1,2012-01-04,28.0,9.0,18.5,,-1.0,14.0,46.0,0.0,,,MD,,0.0,29.86,30.03,6.3,27.0,8.3,2012,1,4,41.61225759373468,8.176941808856883,,2,0,0,0,0,1
1,2012-01-05,38.0,25.0,31.5,,13.0,25.0,33.0,0.0,,,MD,,0.0,29.67,29.84,6.9,25.0,7.8,2012,1,5,45.83759612702107,24.36277704450505,,3,0,0,0,0,1
1,2012-01-06,46.0,25.0,35.5,,21.0,29.0,29.0,0.0,,,SN,,0.005,29.68,29.84,0.3,1.0,2.4,2012,1,6,55.18429535282855,34.136029503670386,,4,0,1,1,0,0
1,2012-01-07,57.0,28.0,42.5,,28.0,36.0,22.0,0.0,,,MD,,0.0,29.57,29.76,3.0,26.0,3.6,2012,1,7,56.228186268240826,40.573416614479434,,5,1,0,0,0,1
1,2012-01-08,45.0,27.0,36.0,,22.0,32.0,29.0,0.0,,,MD,,0.0,29.9,30.11,5.1,30.0,6.6,2012,1,8,56.439510404061615,30.577749529798986,,6,1,0,0,0,1
1,2012-01-09,39.0,23.0,31.0,,12.0,25.0,34.0,0.0,,,MD,,0.0,30.06,30.2,2.3,23.0,4.0,2012,1,9,44.754087333926236,26.922183476085987,,0,0,0,0,0,1
1,2012-01-10,47.0,29.0,38.0,,24.0,32.0,27.0,0.0,,,MD,,0.005,29.69,29.86,5.4,25.0,6.5,2012,1,10,56.735540226924044,33.04147178798932,,1,0,0,0,0,1
1,2012-01-11,39.0,24.0,31.5,,21.0,29.0,33.0,0.0,,,MD,,0.0,29.91,30.1,3.4,7.0,4.2,2012,1,11,64.76306385897404,27.281759165803386,,2,0,0,0,0,1
1,2012-01-12,40.0,31.0,35.5,,31.0,34.0,29.0,0.0,,,RA SN BR,,0.69,29.62,29.74,10.7,5.0,12.3,2012,1,12,83.50443586363741,27.063645459987125,,3,0,2,1,0,0
1,2012-01-13,50.0,30.0,40.0,,27.0,32.0,25.0,0.0,,,RA FZRA FG+ FG BR UP,,0.02,29.24,29.41,8.7,24.0,12.7,2012,1,13,59.43489778080264,32.591656020666555,,4,0,2,1,1,0
1,2012-01-14,35.0,14.0,24.5,,12.0,23.0,40.0,0.0,,,MD,,0.0,29.58,29.81,11.1,28.0,12.5,2012,1,14,58.45370012657393,13.103469024733029,,5,1,0,0,0,1
1,2012-01-15,16.0,4.0,10.0,,-5.0,7.0,55.0,0.0,,,MD,,0.0,30.09,30.31,11.2,31.0,11.6,2012,1,15,49.90170028348653,-4.633531031125483,,6,1,0,0,0,1
1,2012-01-16,32.0,8.0,20.0,,3.0,17.0,45.0,0.0,,,SN BR,,0.05,30.29,30.43,5.1,23.0,7.1,2012,1,16,47.037982689316365,10.95052526222566,,0,0,1,1,0,0
1,2012-01-17,46.0,32.0,39.0,,34.0,37.0,26.0,0.0,,,RA SN BR HZ,,0.09,29.72,29.82,4.9,21.0,5.9,2012,1,17,82.08895972951541,34.635513975528795,,1,0,2,1,1,0
1,2012-01-18,50.0,19.0,34.5,,15.0,29.0,30.0,0.0,,,RA,,0.005,29.55,29.79,13.7,29.0,15.9,2012,1,18,44.36406203367036,24.48770284185764,,2,0,2,1,0,0
1,2012-01-19,31.0,13.0,22.0,,11.0,20.0,43.0,0.0,,,SN BR,,0.02,30.03,30.18,1.4,4.0,2.9,2012,1,19,62.10103683070236,18.175096239615648,,3,0,1,1,0,0
1,2012-01-20,31.0,19.0,25.0,,12.0,23.0,40.0,0.0,,,SN BR,,0.08,29.9,30.11,6.0,29.0,6.7,2012,1,20,57.248771702946776,17.299613726534687,,4,0,1,1,0,0
1,2012-01-21,20.0,13.0,16.5,,9.0,16.0,48.0,0.0,,,SN,,0.12,30.08,30.26,5.9,1.0,6.0,2012,1,21,71.84602537377073,7.771347180328273,,5,1,1,1,0,0
1,2012-01-22,28.0,7.0,17.5,,12.0,18.0,47.0,0.0,,,MD,,0.005,30.34,30.54,3.4,4.0,3.7,2012,1,22,78.65009535521754,11.764958149931195,,6,1,0,0,0,1
1,2012-01-23,48.0,27.0,37.5,,30.0,34.0,27.0,0.0,,,RA BR,,0.12,30.15,30.25,0.8,7.0,2.2,2012,1,23,74.09804596557825,36.67619716428535,,0,0,2,1,0,0
1,2012-01-24,55.0,41.0,48.0,,39.0,44.0,17.0,0.0,,,BR,,0.005,29.73,29.92,6.8,25.0,8.3,2012,1,24,70.8721905208852,44.2045646746784,,1,0,1,1,0,0
1,2012-01-25,42.0,35.0,38.5,,23.0,32.0,26.0,0.0,,,MD,,0.0,29.97,30.15,8.2,28.0,8.7,2012,1,25,53.35242203174767,32.39785601243453,,2,0,0,0,0,1
1,2012-01-26,43.0,32.0,37.5,,23.0,31.0,27.0,0.0,,,RA FZRA SN BR UP,,0.15,30.0,30.16,1.7,35.0,4.2,2012,1,26,55.4856774665901,34.23782076852798,,3,0,2,1,1,0
1,2012-01-27,45.0,34.0,39.5,,36.0,38.0,25.0,0.0,,,RA BR,,1.14,29.46,29.57,3.2,36.0,7.5,2012,1,27,87.1642229241335,34.249438609718624,,4,0,2,1,0,0
1,2012-01-28,48.0,32.0,40.0,,27.0,35.0,25.0,0.0,,,MD,,0.0,29.68,29.88,5.5,25.0,8.0,2012,1,28,59.43489778080264,34.58803062256495,,5,1,0,0,0,1
1,2012-01-29,43.0,31.0,37.0,,15.0,30.0,28.0,0.0,,,MD,,0.0,29.83,30.01,10.4,25.0,11.4,2012,1,29,40.181753584505365,29.31388223547298,,6,1,0,0,0,1
1,2012-01-30,39.0,25.0,32.0,,15.0,27.0,33.0,0.0,,,SN,,0.005,29.91,30.12,6.6,28.0,7.7,2012,1,30,49.037148649045136,25.03367687715869,,0,0,1,1,0,0
1,2012-01-31,44.0,25.0,34.5,,26.0,31.0,30.0,0.0,,,SN BR,,0.005,30.0,30.14,2.4,3.0,3.4,2012,1,31,70.80506550682935,31.638169597406158,,1,0,1,1,0,0
1,2012-02-01,56.0,31.0,43.5,,33.0,37.0,21.0,0.0,,,RA FG+ FG FZFG BR HZ,,0.01,29.72,29.88,4.5,26.0,5.1,2012,2,1,66.28201681805186,40.5129359725173,,2,0,2,1,1,0
1,2012-02-02,43.0,30.0,36.5,,26.0,32.0,28.0,0.0,,,MD,,0.0,29.88,30.07,4.4,4.0,7.1,2012,2,2,65.40688644022859,30.8573660685336,,3,0,0,0,0,1
1,2012-02-03,38.0,23.0,30.5,,13.0,26.0,34.0,0.0,,,MD,,0.0,30.14,30.32,6.5,31.0,7.7,2012,2,3,47.730843189458255,23.212500293446784,,4,0,0,0,0,1
1,2012-02-04,39.0,26.0,32.5,,16.0,28.0,32.0,0.0,,,MD,,0.005,30.03,30.19,5.5,31.0,8.1,2012,2,4,50.197511007734526,25.394233658029908,,5,1,0,0,0,1
1,2012-02-05,36.0,17.0,26.5,,8.0,22.0,38.0,0.0,,,MD,,0.0,29.96,30.13,2.5,28.0,3.7,2012,2,5,44.99418278361343,22.101870766093555,,6,1,0,0,0,1
1,2012-02-06,52.0,26.0,39.0,,18.0,31.0,26.0,0.0,,,MD,,0.0,29.78,29.92,9.0,23.0,9.5,2012,2,6,42.30522044143735,32.62850576836874,,0,0,0,0,0,1
1,2012-02-07,45.0,27.0,36.0,,20.0,31.0,29.0,0.0,,,MD,,0.0,29.83,30.04,5.2,31.0,6.5,2012,2,7,51.85141206964299,30.64493286867279,,1,0,0,0,0,1
1,2012-02-08,38.0,17.0,27.5,,7.0,23.0,37.0,0.0,,,MD,,0.0,30.08,30.22,2.5,23.0,4.3,2012,2,8,41.26841541314036,22.53052064344974,,2,0,0,0,0,1
1,2012-02-09,48.0,27.0,37.5,,12.0,29.0,27.0,0.0,,,MD,,0.0,29.85,30.03,4.4,27.0,5.4,2012,2,9,34.53481021859366,33.219938642752865,,3,0,0,0,0,1
1,2012-02-10,51.0,25.0,38.0,,17.0,32.0,27.0,0.0,,,MD,,0.0,29.86,30.01,6.0,21.0,6.5,2012,2,10,42.137151934579116,33.04147178798932,,4,0,0,0,0,1
